Id,LotArea,Street,LotShape,HouseStyle,OverallQual,OverallCond,YearBuilt,GarageType,YrSold,SalePrice
162,13688,Pave,IR1,2Story,9,5,2003,BuiltIn,2008,412500
163,12182,Pave,Reg,1Story,7,5,2005,Attchd,2010,220000
164,5500,Pave,Reg,1.5Unf,4,6,1956,NA,2007,103200
165,5400,Pave,Reg,1Story,6,7,1926,Detchd,2007,152000
166,10106,Pave,Reg,1.5Fin,5,7,1940,NA,2008,127500
167,10708,Pave,IR1,1Story,5,5,1955,Attchd,2009,190000
168,10562,Pave,Reg,2Story,8,5,2007,Attchd,2007,325624
169,8244,Pave,IR1,2Story,7,5,2004,Attchd,2007,183500
170,16669,Pave,IR1,1Story,8,6,1981,Attchd,2006,228000
171,12358,Pave,IR1,1.5Fin,5,6,1941,Detchd,2007,128500
172,31770,Pave,IR1,1Story,6,5,1960,Attchd,2010,215000
173,5306,Pave,IR1,2Story,7,7,1987,Attchd,2006,239000
174,10197,Pave,IR1,1Story,6,5,1961,Attchd,2008,163000
175,12416,Pave,IR1,1Story,6,5,1986,Attchd,2008,184000
176,12615,Pave,Reg,1Story,6,7,1950,Attchd,2007,243000
177,10029,Pave,IR1,2Story,6,5,1988,Attchd,2007,211000
178,13650,Pave,Reg,1.5Fin,5,5,1958,Attchd,2006,172500
179,17423,Pave,IR1,1Story,9,5,2008,Attchd,2009,501837
180,8520,Pave,Reg,1Story,5,6,1923,Detchd,2007,100000
181,2117,Pave,Reg,2Story,6,5,2000,Detchd,2007,177000
182,7588,Pave,Reg,2Story,7,6,1920,Detchd,2006,200100
183,9060,Pave,Reg,1Story,5,6,1957,Attchd,2007,120000
184,11426,Pave,Reg,1.5Fin,7,5,2003,Detchd,2008,200000
185,7438,Pave,IR1,1.5Fin,5,8,1908,Attchd,2006,127000
186,22950,Pave,IR2,2.5Fin,10,9,1892,Detchd,2006,475000
187,9947,Pave,IR1,SLvl,7,5,1990,Attchd,2009,173000
188,10410,Pave,Reg,1.5Fin,5,7,1916,Detchd,2009,135000
189,7018,Pave,Reg,SFoyer,5,5,1979,Detchd,2009,153337
190,4923,Pave,Reg,1Story,8,5,2001,Attchd,2008,286000
191,10570,Pave,Reg,2Story,8,8,1932,Detchd,2007,315000
192,7472,Pave,IR1,2Story,7,9,1972,Attchd,2007,184000
193,9017,Pave,IR1,1Story,7,5,1999,Attchd,2009,192000
194,2522,Pave,Reg,2Story,7,5,2004,Detchd,2006,130000
195,7180,Pave,IR1,1Story,5,7,1972,Detchd,2008,127000
196,2280,Pave,Reg,2Story,6,6,1976,Attchd,2009,148500
197,9416,Pave,Reg,1Story,7,5,2007,Attchd,2007,311872
198,25419,Pave,Reg,2Story,8,4,1918,Detchd,2006,235000
199,5520,Pave,Reg,2.5Fin,6,6,1912,NA,2009,104000
200,9591,Pave,Reg,1Story,8,5,2004,Attchd,2009,274900
201,8546,Pave,Reg,1Story,4,5,2003,Attchd,2010,140000
202,10125,Pave,Reg,1Story,6,6,1977,Detchd,2008,171500
203,7000,Pave,Reg,1.5Fin,6,6,1924,Attchd,2006,112000
204,4438,Pave,Reg,1Story,6,5,2004,Attchd,2008,149000
205,3500,Pave,Reg,1.5Fin,5,7,1947,Detchd,2009,110000
206,11851,Pave,Reg,1Story,7,5,1990,Attchd,2009,180500
207,13673,Pave,IR1,1Story,5,5,1962,Attchd,2007,143900
208,12493,Pave,IR1,1Story,4,5,1960,Attchd,2008,141000
209,14364,Pave,IR1,2Story,7,5,1988,Attchd,2007,277000
210,8250,Pave,Reg,1Story,6,7,1964,Attchd,2008,145000
211,5604,Pave,Reg,1Story,5,6,1925,NA,2008,98000
212,10420,Pave,Reg,1Story,6,5,2009,Attchd,2010,186000
213,8640,Pave,Reg,2Story,7,5,2009,Attchd,2009,252678
214,13568,Pave,IR2,1Story,5,5,1995,Attchd,2006,156000
215,10900,Pave,IR1,2Story,6,7,1977,Attchd,2010,161750
216,10011,Pave,IR1,1Story,5,6,1957,Attchd,2006,134450
217,8450,Pave,Reg,1Story,7,5,2004,Attchd,2008,210000
218,9906,Pave,Reg,2Story,4,4,1925,Detchd,2006,107000
219,15660,Pave,IR1,1.5Fin,7,9,1939,Attchd,2008,311500
220,3010,Pave,Reg,1Story,7,5,2005,Attchd,2006,167240
221,8990,Pave,IR1,1Story,7,5,2006,Attchd,2006,204900
222,8068,Pave,IR1,2Story,6,5,2002,BuiltIn,2009,200000
223,11475,Pave,Reg,2Story,6,6,1975,Attchd,2006,179900
224,10500,Pave,Reg,1Story,4,6,1971,Detchd,2009,97000
225,13472,Pave,Reg,1Story,10,5,2003,Attchd,2009,386250
226,1680,Pave,Reg,2Story,5,5,1971,Detchd,2009,112000
227,9950,Pave,IR1,2Story,7,5,1995,Attchd,2007,290000
228,1869,Pave,Reg,2Story,6,6,1970,Detchd,2008,106000
229,8521,Pave,Reg,1Story,5,5,1967,Detchd,2010,125000
230,3182,Pave,Reg,1Story,7,5,2005,Attchd,2009,192500
231,8760,Pave,Reg,1Story,6,6,1959,Attchd,2010,148000
232,15138,Pave,IR1,2Story,8,5,1995,Attchd,2009,403000
233,1680,Pave,Reg,2Story,6,5,1972,Attchd,2006,94500
234,10650,Pave,Reg,1Story,5,6,1976,Attchd,2010,128200
235,7851,Pave,Reg,2Story,6,5,2002,BuiltIn,2010,216500
236,1680,Pave,Reg,2Story,6,3,1971,Detchd,2008,89500
237,8773,Pave,Reg,1Story,7,5,2004,Attchd,2010,185500
238,9453,Pave,IR1,2Story,7,7,1993,Attchd,2010,194500
239,12030,Pave,Reg,1Story,8,5,2007,Attchd,2007,318000
240,8741,Pave,Reg,1.5Fin,6,4,1945,Detchd,2010,113000
241,9000,Pave,Reg,1Story,8,5,2008,Attchd,2010,262500
242,3880,Pave,Reg,1Story,5,9,1945,NA,2007,110500
243,5000,Pave,Reg,1.5Fin,5,4,1900,Attchd,2006,79000
244,10762,Pave,Reg,2Story,6,6,1980,Attchd,2009,120000
245,8880,Pave,IR1,2Story,7,5,1994,Attchd,2010,205000
246,10400,Pave,Reg,1Story,7,5,1988,Attchd,2006,241500
247,9142,Pave,Reg,2Story,6,8,1910,Detchd,2006,137000
248,11310,Pave,Reg,1Story,6,5,1954,Attchd,2006,140000
249,11317,Pave,Reg,2Story,7,5,2003,Attchd,2007,180000
250,159000,Pave,IR2,1.5Fin,6,7,1958,Attchd,2007,277000
251,5350,Pave,IR1,1Story,3,2,1940,NA,2010,76500
252,4750,Pave,IR1,1Story,8,5,2006,Attchd,2007,235000
253,8366,Pave,IR1,2Story,6,5,2004,Attchd,2008,173000
254,9350,Pave,Reg,SLvl,6,7,1964,Attchd,2007,158000
255,8400,Pave,Reg,1Story,5,6,1957,Attchd,2010,145000
256,8738,Pave,IR1,2Story,7,5,1999,BuiltIn,2006,230000
257,8791,Pave,IR1,2Story,6,5,2003,Attchd,2008,207500
258,8814,Pave,Reg,1Story,7,5,2006,Attchd,2009,220000
259,12435,Pave,Reg,2Story,7,5,2001,Attchd,2008,231500
260,12702,Pave,Reg,1Story,5,5,1956,Detchd,2008,97000
261,19296,Pave,Reg,SLvl,6,5,1962,Attchd,2009,176000
262,9588,Pave,IR1,2Story,8,5,2007,BuiltIn,2007,276000
263,8471,Pave,IR1,SLvl,6,7,1977,Attchd,2006,151000
264,5500,Pave,Reg,1.5Fin,5,7,1929,Detchd,2010,130000
265,5232,Pave,IR3,1Story,5,5,1925,Detchd,2008,73000
266,12090,Pave,IR1,1Story,6,6,1981,Attchd,2008,175500
267,11207,Pave,IR1,2Story,6,5,1997,Attchd,2006,185000
268,8400,Pave,Reg,2.5Fin,5,8,1939,Detchd,2008,179500
269,6900,Pave,Reg,1Story,5,6,1940,Detchd,2008,120500
270,7917,Pave,IR1,1Story,6,7,1976,Attchd,2007,148000
271,10728,Pave,Reg,2Story,8,5,2006,Attchd,2006,266000
272,39104,Pave,IR1,1Story,7,7,1954,Attchd,2008,241500
273,11764,Pave,IR1,2Story,8,7,1999,Attchd,2010,290000
274,9600,Pave,Reg,1Story,6,6,1958,Attchd,2009,139000
275,8314,Pave,Reg,1Story,5,7,1982,Attchd,2007,124500
276,7264,Pave,Reg,1.5Fin,7,7,1925,Detchd,2009,205000
277,9196,Pave,IR1,1Story,7,5,2003,Attchd,2010,201000
278,19138,Pave,Reg,1Story,4,5,1951,Detchd,2010,141000
279,14450,Pave,Reg,1Story,9,5,2006,Attchd,2007,415298
280,10005,Pave,Reg,2Story,7,5,1977,Attchd,2008,192000
281,11287,Pave,Reg,2Story,7,6,1989,Attchd,2007,228500
282,7200,Pave,Reg,1Story,6,5,2006,Attchd,2006,185000
283,5063,Pave,Reg,1Story,7,5,2007,Attchd,2009,207500
284,9612,Pave,Reg,1Story,8,5,2008,Attchd,2009,244600
285,8012,Pave,Reg,1Story,6,5,1992,Attchd,2007,179200
286,4251,Pave,IR1,2Story,7,5,2006,Detchd,2007,164700
287,9786,Pave,IR1,1.5Fin,6,7,1962,Attchd,2006,159000
288,8125,Pave,IR1,1Story,4,4,1971,NA,2006,88000
289,9819,Pave,IR1,1Story,5,5,1967,Detchd,2010,122000
290,8730,Pave,Reg,2Story,6,7,1915,Detchd,2007,153575
291,15611,Pave,Reg,2Story,8,5,2006,Attchd,2006,233230
292,5687,Pave,Reg,2Story,5,6,1912,NA,2008,135900
293,11409,Pave,Reg,1.5Fin,5,4,1949,Attchd,2009,131000
294,16659,Pave,IR1,2Story,7,7,1977,Attchd,2006,235000
295,9600,Pave,Reg,1Story,6,5,1953,Attchd,2009,167000
296,7937,Pave,IR1,SLvl,6,6,1984,Detchd,2006,142500
297,13710,Pave,Reg,1.5Fin,5,5,1950,Attchd,2007,152000
298,7399,Pave,IR1,2Story,7,5,1997,Detchd,2007,239000
299,11700,Pave,Reg,2Story,6,6,1968,Attchd,2007,175000
300,14000,Pave,Reg,1Story,6,8,1950,Attchd,2009,158500
301,15750,Pave,Reg,1Story,5,5,1953,Attchd,2006,157000
302,16226,Pave,IR3,2Story,8,5,1998,BuiltIn,2007,267000
303,13704,Pave,IR1,1Story,7,5,2001,Attchd,2006,205000
304,9800,Pave,Reg,1Story,5,7,1972,Attchd,2006,149900
305,18386,Pave,Reg,2.5Fin,7,9,1880,Attchd,2008,295000
306,10386,Pave,Reg,1Story,8,5,2004,Attchd,2007,305900
307,13474,Pave,Reg,2Story,7,5,1990,Attchd,2007,225000
308,7920,Pave,IR1,1.5Fin,6,7,1920,NA,2008,89500
309,12342,Pave,IR1,1Story,4,5,1940,Detchd,2009,82500
310,12378,Pave,IR1,1Story,9,5,2003,Attchd,2006,360000
311,7685,Pave,IR1,2Story,6,5,1993,Attchd,2006,165600
312,8000,Pave,Reg,1Story,6,6,1948,Detchd,2009,132000
313,7800,Pave,Reg,1.5Fin,5,7,1939,Detchd,2006,119900
314,215245,Pave,IR3,1Story,7,5,1965,Attchd,2009,375000
315,9600,Pave,Reg,2Story,7,7,1925,Detchd,2006,178000
316,7795,Pave,IR1,2Story,7,5,2004,Attchd,2009,188500
317,13005,Pave,IR1,2Story,7,7,1980,Attchd,2009,260000
318,9000,Pave,Reg,2Story,8,5,2006,Attchd,2007,270000
319,9900,Pave,Reg,2Story,7,5,1993,Attchd,2009,260000
320,14115,Pave,Reg,SLvl,7,5,1980,Attchd,2009,187500
321,16259,Pave,Reg,2Story,9,5,2006,Attchd,2006,342643
322,12099,Pave,IR1,2Story,8,5,2004,BuiltIn,2007,354000
323,10380,Pave,IR1,2Story,7,5,1986,Attchd,2007,301000
324,5820,Pave,Reg,1Story,3,8,1955,Attchd,2006,126175
325,11275,Pave,Reg,SLvl,7,7,1967,BuiltIn,2010,242000
326,5000,Pave,Reg,1.5Unf,5,6,1941,Detchd,2007,87000
327,10846,Pave,IR1,1Story,8,5,1993,Attchd,2008,324000
328,11600,Pave,Reg,1Story,6,5,1960,Attchd,2006,145250
329,11888,Pave,IR1,2.5Unf,6,6,1916,Detchd,2009,214500
330,6402,Pave,Reg,2Story,5,5,1920,Detchd,2009,78000
331,10624,Pave,IR1,1Story,5,4,1964,Detchd,2007,119000
332,8176,Pave,Reg,1Story,5,6,1958,Attchd,2007,139000
333,10655,Pave,IR1,1Story,8,5,2003,Attchd,2009,284000
334,8198,Pave,Reg,1Story,7,5,2004,Attchd,2008,207000
335,9042,Pave,IR1,2Story,6,5,1998,Attchd,2008,192000
336,164660,Grvl,IR1,1.5Fin,5,6,1965,Attchd,2008,228950
337,14157,Pave,IR1,1Story,9,5,2005,Attchd,2007,377426
338,9135,Pave,Reg,1Story,7,5,2002,Attchd,2008,214000
339,14145,Pave,Reg,1Story,7,7,1984,Attchd,2006,202500
340,12400,Pave,IR1,1Story,6,7,1958,Attchd,2009,155000
341,14191,Pave,Reg,2Story,8,5,2002,Attchd,2010,202900
342,8400,Pave,Reg,1Story,4,4,1950,CarPort,2009,82000
343,8544,Pave,Reg,1Story,3,4,1949,Detchd,2006,87500
344,8849,Pave,IR1,1Story,9,5,2005,Attchd,2008,266000
345,2592,Pave,Reg,2Story,5,3,1976,Attchd,2010,85000
346,6435,Pave,Reg,1.5Fin,6,5,1939,Detchd,2006,140200
347,12772,Pave,IR1,1Story,6,8,1960,Attchd,2007,151500
348,17600,Pave,IR1,1Story,6,5,1960,Attchd,2009,157500
349,2448,Pave,Reg,2Story,7,5,2003,BuiltIn,2008,154000
350,20431,Pave,IR2,2Story,9,5,2005,Attchd,2006,437154
351,7820,Pave,IR1,1Story,9,5,2007,Attchd,2007,318061
352,5271,Pave,IR1,1Story,7,5,1986,Attchd,2006,190000
353,9084,Pave,Reg,1.5Fin,5,6,1941,Detchd,2008,95000
354,8520,Pave,Reg,1Story,6,8,1928,Detchd,2010,105900
355,8400,Pave,Reg,1.5Fin,6,5,1940,Attchd,2006,140000
356,11249,Pave,IR2,1Story,6,5,1995,Attchd,2007,177500
357,9248,Pave,IR1,1Story,6,6,1992,Attchd,2009,173000
358,4224,Pave,Reg,1Story,5,5,1976,Attchd,2007,134000
359,6930,Pave,IR1,SLvl,5,4,1958,BuiltIn,2006,130000
360,12011,Pave,IR1,2Story,8,5,1998,Attchd,2006,280000
361,7540,Pave,IR1,SFoyer,6,6,1978,Attchd,2007,156000
362,9144,Pave,Reg,1.5Fin,5,5,1940,Detchd,2008,145000
363,7301,Pave,Reg,SFoyer,7,5,2003,BuiltIn,2009,198500
364,1680,Pave,Reg,2Story,6,8,1972,Detchd,2009,118000
365,18800,Pave,IR1,2Story,6,5,1976,Attchd,2006,190000
366,10690,Pave,Reg,2Story,5,7,1920,Detchd,2009,147000
367,9500,Pave,IR1,1Story,6,5,1963,Attchd,2009,159000
368,9150,Pave,IR1,SLvl,6,5,1962,Basment,2008,165000
369,7800,Pave,Reg,1Story,5,6,1954,Attchd,2010,132000
370,9830,Pave,IR1,1Story,5,7,1959,Detchd,2010,162000
371,8121,Pave,IR1,2Story,6,5,2000,Attchd,2006,172400
372,17120,Pave,Reg,1.5Fin,4,4,1959,Detchd,2008,134432
373,7175,Pave,Reg,1Story,6,5,1984,Attchd,2010,125000
374,10634,Pave,Reg,1Story,5,6,1953,Attchd,2009,123000
375,8200,Pave,Reg,2Story,7,5,2003,BuiltIn,2007,219500
376,10020,Pave,IR1,1Story,1,1,1922,NA,2009,61000
377,8846,Pave,IR1,SFoyer,5,5,1996,Detchd,2006,148000
378,11143,Pave,IR1,2Story,8,5,2004,Attchd,2007,340000
379,11394,Pave,Reg,1Story,9,2,2010,Attchd,2010,394432
380,8123,Pave,IR1,2Story,6,5,2000,Attchd,2009,179000
381,5000,Pave,Reg,1.5Fin,5,6,1924,Detchd,2010,127000
382,7200,Pave,Reg,1Story,7,5,2006,Attchd,2006,187750
383,9245,Pave,IR1,2Story,7,5,2006,Attchd,2007,213500
384,9000,Pave,Reg,1.5Unf,6,3,1928,Detchd,2009,76000
385,53107,Pave,IR2,2Story,6,5,1992,Attchd,2007,240000
386,3182,Pave,Reg,1Story,8,5,2004,Attchd,2010,192000
387,8410,Pave,Reg,1.5Fin,5,3,1910,NA,2006,81000
388,7200,Pave,Reg,SLvl,6,6,1976,Detchd,2009,125000
389,9382,Pave,IR1,1Story,7,5,1999,Attchd,2008,191000
390,12474,Pave,Reg,2Story,10,5,2007,BuiltIn,2008,426000
